Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.82834494	1.8533298	5.1789536	-1.5168997	85.21429	59.657566	226.0	0.0	1000.0	2518.0	0.08393333333333333	0.1340211	0.43313512	0.9256125	-1.1818924	-0.4535207	0.5319947	1.2020257	-1.52944	9.313226e-10	-0.00045879735	-1.7881393e-07	-0.031348653	0.4078104	-0.33241853	144.00061	-81.48152	0.6164657	0.0	0.0034654029	-0.04889489	0.06021429	0.0034809867	-0.000905615	0.052627422	0.0	0.6164657	0.0	0.0	0.0	1.837877	0.008356178	30000	39.98681330680847
1	0.557628	2.3088372	7.2685313	-1.8675343	79.35714	68.92139	232.0	0.0	1000.0	4898.0	0.08163333333333334	0.07473161	0.41266572	1.3446851	-0.95375603	6.7113304	3.223461	14.678882	-2.1262548	-1.8626451e-09	-0.00046100255	-2.9802322e-08	-0.027206345	0.100252025	-0.012418725	56.09481	-17.944336	0.723371	0.0	0.005932077	-0.057304636	0.05435714	0.005935545	-0.0003640892	0.038221493	0.0	0.723371	0.0	0.0	0.0	1.8298609	0.008770369	60000	80.72660303115845
2	-0.22293036	1.7891593	4.463722	-2.8643146	46.142857	38.559525	128.0	0.0	1000.0	6233.0	0.06925555555555556	0.09149321	0.46535957	1.765651	-1.0241972	6.080419	5.598084	22.596935	-4.191739	1.1175871e-08	-0.004054488	4.0978193e-08	-0.022434512	0.08540634	-0.02320252	33.301407	-7.7745705	0.648571	0.0	0.004591518	0.007771915	0.021142857	0.006113363	-0.007458811	0.03655686	0.76862437	0.648571	1.0	0.0	0.0	1.817281	0.008363691	90000	122.10540795326233
3	0.3233287	2.592297	9.109372	-2.285068	33.5	32.454914	107.0	0.0	1000.0	7174.0	0.059783333333333334	-0.0040413616	0.38341358	1.2211363	-0.9597167	2.841009	4.306457	21.889296	-2.351382	-7.450581e-09	-0.0081465	9.313226e-09	-0.010523174	0.08647157	-0.017931994	21.29222	-4.7283187	0.27417102	0.0	0.0041406075	0.016910972	0.0085	0.0043487987	-0.0022066794	0.023389239	0.49482056	0.27417102	1.0	0.0	0.0	1.8261614	0.008854489	120000	162.58659172058105
4	0.9551821	2.4524126	7.2361383	-2.2554703	48.5	45.43716	161.0	0.0	1000.0	8692.0	0.05794666666666667	0.111131586	0.42917863	1.4791771	-1.0423731	4.0876017	4.467177	24.119062	-1.9454712	1.4901161e-08	-0.0050572255	2.9802322e-08	-0.026462518	0.1018282	-0.02105955	34.619534	-7.699144	0.7519146	0.0	0.0062247748	0.0057086796	0.0235	0.0067526526	-0.0045164614	0.038642336	1.0442247	0.7519146	1.0	0.0	0.0	1.8167703	0.009546581	150000	201.1708686351776
5	0.7022118	2.588195	7.356386	-2.1279826	32.5	25.315863	86.0	0.0	1000.0	9657.0	0.05365	0.08333457	0.43216923	1.6043475	-0.9325053	3.8288875	4.1996307	24.440296	-2.5168614	-7.450581e-09	-0.0095308535	-1.1175871e-08	-0.009140648	0.08630223	-0.012117183	22.93787	-4.496809	0.28136444	0.0	0.0051715146	0.018294457	0.0075	0.0060206596	-0.0052920133	0.03298071	0.5316785	0.28136444	1.0	0.0	0.0	1.8448722	0.008944622	180000	239.33240056037903
6	3.2735574	2.7638936	10.569649	-1.2560142	44.25	37.426712	150.0	0.0	1000.0	10972.0	0.05224761904761905	0.22348303	0.5284849	1.8186209	-0.9928013	4.124172	3.651743	26.248808	-2.0050561	7.450581e-09	-0.004705269	1.8626451e-08	-0.021671861	0.14680204	-0.037563965	25.712143	-4.2399063	1.1982186	0.0	0.008010438	0.0046435045	0.01925	0.008556623	-0.0036304016	0.024130668	1.3134247	1.1982186	1.0	0.0	0.0	1.8326972	0.009713073	210000	277.41571617126465
7	3.2158968	3.794146	14.864133	-2.3444834	38.0	37.96521	139.0	0.0	1000.0	12117.0	0.0504875	0.34276187	0.56256014	1.8292873	-0.9840068	4.1655235	4.4502535	28.466047	-1.308467	1.4901161e-08	-0.0068109203	-1.1175871e-08	-0.016590815	0.15297657	-0.032189973	23.467695	-3.5329514	0.44858304	0.0	0.0038964234	0.013947601	0.013	0.005041526	-0.0056545995	0.027922815	0.52854663	0.44858304	1.0	0.0	0.0	1.8336484	0.009301153	240000	315.50239396095276
8	4.5848093	3.4739034	10.311499	-1.4972311	60.17857	34.56883	120.0	0.0	1000.0	13817.0	0.05117407407407407	0.5368951	0.5894439	2.1209326	-1.0529699	5.6608663	4.9406505	30.42946	-0.6561008	2.3283064e-09	-0.00085751945	-4.4703484e-08	-0.03490315	0.25065082	-0.07664378	37.651478	-10.088421	3.770158	0.0	0.0072560417	0.00016328067	0.03517857	0.0072637876	-0.0006951383	0.06238591	6.666264	3.770158	1.0	0.0	0.0	1.8270535	0.009597488	270000	354.8968286514282
9	3.3103688	3.0031881	10.553332	-1.4095973	19.75	22.15308	91.0	0.0	1000.0	14428.0	0.048093333333333335	0.4483524	0.5492002	1.7613267	-1.1731609	4.298442	4.0902705	31.733309	-1.829528	-9.313226e-09	-0.011951644	-5.029142e-08	0.0018650508	0.1617338	-0.04575883	19.362465	-9.353565	0.0	0.0	0.006997347	0.018938076	-0.00525	0.0071966364	-0.0022743368	0.025955219	0.59985983	0.0	2.0	0.0	0.0	1.8364291	0.009011131	300000	392.9066274166107
