Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.82834494	1.8533298	5.1789536	-1.5168997	85.21429	59.657566	226.0	0.0	1000.0	2518.0	0.08393333333333333	0.1340211	0.43313512	0.9256125	-1.1818924	-0.4535207	0.5319947	1.2020257	-1.52944	-9.685755e-08	0.009449067	-1.7881393e-07	-0.030385688	0.4078104	-0.33241853	144.00061	-81.48152	0.99999994	0.03205484	1.0	1.837877	0.11469743	30000	20.855629444122314
1	0.17537853	1.9538819	6.4047074	-2.2246556	89.96429	65.95263	209.0	0.0	1000.0	5285.0	0.08808333333333333	0.07542332	0.430851	1.4385017	-1.0503875	7.0843787	3.235041	14.672215	-2.7125065	5.9604645e-08	0.015601289	8.940697e-08	-0.0091364775	0.07151848	-0.008530924	57.779106	-19.151697	1.0320548	0.032747984	1.0	1.8390036	0.068828255	60000	40.962403535842896
2	0.74467343	1.6150587	5.250517	-1.74211	72.32143	47.75836	168.0	0.0	1000.0	7451.0	0.08278888888888888	0.049993277	0.4114116	1.3694274	-0.8948478	8.900457	5.231164	22.907566	-2.4247096	-2.9802322e-08	-0.0030466495	-5.9604645e-08	-0.0132754985	0.056982607	-0.0055664927	45.760414	-8.539154	1.0648028	0.032929182	4.0	1.8394823	0.015045668	90000	61.24508333206177
3	0.08637459	1.9016378	5.6499023	-2.997038	74.82143	62.95126	183.0	0.0	1000.0	9632.0	0.08026666666666667	0.064458005	0.3983811	1.2981247	-0.8957136	7.2642417	6.1914754	25.98461	-2.367375	-7.450581e-09	-0.007946045	-7.450581e-09	-0.020479739	0.06069281	-0.005003345	40.751076	-4.654887	1.097732	0.033521175	9.0	1.8405182	0.015386788	120000	85.59758710861206
4	0.7743278	1.8106942	6.297864	-1.7173516	81.5	74.42662	315.0	0.0	1000.0	12060.0	0.0804	0.08875599	0.4347076	1.343595	-0.96079224	7.892556	6.0465884	27.848663	-2.981684	-2.9802322e-08	-0.004087083	-5.2154064e-08	-0.0077317627	0.087209806	-0.012982446	49.395817	-12.474885	1.1312531	0.033814788	2.0	1.8410441	0.003106648	150000	121.85408687591553
5	0.31245407	2.2531457	5.9608216	-2.829571	44.82143	35.897724	133.0	0.0	1000.0	13378.0	0.07432222222222222	0.04825432	0.3792694	1.3224442	-0.95744795	5.7323637	6.8556714	33.99456	-4.398809	-4.656613e-09	-0.0043851016	-6.2864274e-09	-0.0091342805	0.08560972	-0.012907416	34.082153	-12.639111	1.1650679	0.03215456	4.0	1.8410282	0.0058897943	180000	158.53215193748474
6	1.2443653	2.0946383	5.576378	-1.8386824	62.857143	42.441315	154.0	0.0	1000.0	15192.0	0.07234285714285714	0.12688707	0.48569095	1.5056074	-1.0245696	5.229546	4.4889197	28.732666	-1.4157706	7.450581e-09	-0.0017698072	0.0	-0.007243622	0.09755905	-0.013200704	33.65425	-5.2986817	1.1972225	0.032294035	2.0	1.8413287	0.010936965	210000	195.19813299179077
7	0.8053519	2.6935234	7.6665854	-2.751112	41.214287	47.433678	147.0	0.0	1000.0	16452.0	0.06855	0.12960322	0.41513366	1.4101168	-1.0560371	4.808331	4.926546	30.827568	-2.3224952	-1.4901161e-08	-0.0036806986	-3.7252903e-08	-0.008701231	0.11260644	-0.0348813	24.955898	-7.002949	1.2295165	0.030786395	2.0	1.8417473	0.0054988307	240000	230.8661332130432
8	0.044995956	2.5801678	9.492508	-2.9582887	29.321428	29.89273	108.0	0.0	1000.0	17292.0	0.06404444444444445	0.07507236	0.45829734	1.7218835	-1.0468928	2.842915	4.526699	29.936808	-2.6156967	-1.8626451e-09	-0.0017911084	0.0	-0.00913818	0.080215424	-0.022369439	14.493767	-2.2912097	1.2603029	0.02821672	2.0	1.8420038	0.014704388	270000	265.44984698295593
9	0.088865176	1.896553	3.5771554	-3.1188843	29.464285	36.344074	167.0	0.0	1000.0	18142.0	0.06047333333333333	0.03546853	0.48100474	1.5200912	-1.1146296	2.9949203	4.1420655	27.513796	-1.5352324	-1.3969839e-08	-0.0012746016	-2.2351742e-08	-0.015331348	0.08147912	-0.016738508	16.445951	-3.0250857	1.2885196	0.025988102	1.0	1.8424959	0.025298394	300000	299.25567722320557
